Kruskal's Minimum Spanning Tree:
0 - 5 (Weight: 1)
0 - 32 (Weight: 1)
0 - 33 (Weight: 1)
0 - 36 (Weight: 1)
0 - 44 (Weight: 1)
0 - 45 (Weight: 1)
0 - 46 (Weight: 1)
0 - 52 (Weight: 1)
0 - 67 (Weight: 1)
0 - 71 (Weight: 1)
0 - 81 (Weight: 1)
0 - 94 (Weight: 1)
0 - 104 (Weight: 1)
0 - 133 (Weight: 1)
0 - 142 (Weight: 1)
0 - 169 (Weight: 1)
0 - 178 (Weight: 1)
0 - 181 (Weight: 1)
0 - 188 (Weight: 1)
0 - 202 (Weight: 1)
0 - 217 (Weight: 1)
0 - 223 (Weight: 1)
0 - 232 (Weight: 1)
0 - 243 (Weight: 1)
0 - 246 (Weight: 1)
0 - 249 (Weight: 1)
0 - 276 (Weight: 1)
0 - 289 (Weight: 1)
0 - 290 (Weight: 1)
0 - 306 (Weight: 1)
0 - 326 (Weight: 1)
0 - 337 (Weight: 1)
0 - 338 (Weight: 1)
0 - 354 (Weight: 1)
0 - 367 (Weight: 1)
0 - 372 (Weight: 1)
1 - 5 (Weight: 1)
1 - 35 (Weight: 1)
1 - 62 (Weight: 1)
1 - 69 (Weight: 1)
1 - 84 (Weight: 1)
1 - 87 (Weight: 1)
1 - 89 (Weight: 1)
1 - 141 (Weight: 1)
1 - 170 (Weight: 1)
1 - 180 (Weight: 1)
1 - 183 (Weight: 1)
1 - 195 (Weight: 1)
1 - 196 (Weight: 1)
1 - 208 (Weight: 1)
1 - 266 (Weight: 1)
1 - 320 (Weight: 1)
1 - 344 (Weight: 1)
1 - 399 (Weight: 1)
1 - 555 (Weight: 1)
1 - 568 (Weight: 1)
1 - 597 (Weight: 1)
1 - 633 (Weight: 1)
1 - 637 (Weight: 1)
1 - 640 (Weight: 1)
1 - 661 (Weight: 1)
1 - 778 (Weight: 1)
1 - 781 (Weight: 1)
1 - 782 (Weight: 1)
1 - 809 (Weight: 1)
1 - 847 (Weight: 1)
1 - 871 (Weight: 1)
1 - 928 (Weight: 1)
1 - 930 (Weight: 1)
1 - 1077 (Weight: 1)
1 - 1079 (Weight: 1)
1 - 1081 (Weight: 1)
1 - 1091 (Weight: 1)
1 - 1096 (Weight: 1)
1 - 1108 (Weight: 1)
1 - 1122 (Weight: 1)
1 - 1130 (Weight: 1)
1 - 1138 (Weight: 1)
1 - 1141 (Weight: 1)
1 - 1170 (Weight: 1)
1 - 1176 (Weight: 1)
1 - 1181 (Weight: 1)
1 - 1193 (Weight: 1)
1 - 1195 (Weight: 1)
1 - 1197 (Weight: 1)
1 - 1208 (Weight: 1)
1 - 1240 (Weight: 1)
1 - 1245 (Weight: 1)
1 - 1250 (Weight: 1)
1 - 1259 (Weight: 1)
1 - 1274 (Weight: 1)
1 - 1275 (Weight: 1)
1 - 1280 (Weight: 1)
1 - 1298 (Weight: 1)
1 - 1341 (Weight: 1)
1 - 1342 (Weight: 1)
1 - 1346 (Weight: 1)
1 - 1359 (Weight: 1)
1 - 1362 (Weight: 1)
1 - 1373 (Weight: 1)
1 - 1376 (Weight: 1)
1 - 1377 (Weight: 1)
1 - 1394 (Weight: 1)
1 - 1398 (Weight: 1)
1 - 1400 (Weight: 1)
1 - 1409 (Weight: 1)
1 - 1412 (Weight: 1)
1 - 1428 (Weight: 1)
1 - 1438 (Weight: 1)
1 - 1446 (Weight: 1)
1 - 1447 (Weight: 1)
1 - 1449 (Weight: 1)
1 - 1456 (Weight: 1)
1 - 1464 (Weight: 1)
1 - 1483 (Weight: 1)
1 - 1495 (Weight: 1)
1 - 1504 (Weight: 1)
1 - 1510 (Weight: 1)
1 - 1533 (Weight: 1)
1 - 1568 (Weight: 1)
1 - 1604 (Weight: 1)
1 - 1614 (Weight: 1)
1 - 1649 (Weight: 1)
1 - 1652 (Weight: 1)
1 - 1657 (Weight: 1)
1 - 1675 (Weight: 1)
1 - 1680 (Weight: 1)
1 - 1709 (Weight: 1)
1 - 1716 (Weight: 1)
1 - 1717 (Weight: 1)
1 - 1727 (Weight: 1)
1 - 1731 (Weight: 1)
1 - 1736 (Weight: 1)
1 - 1737 (Weight: 1)
1 - 1745 (Weight: 1)
1 - 1750 (Weight: 1)
1 - 1753 (Weight: 1)
1 - 1760 (Weight: 1)
1 - 1761 (Weight: 1)
1 - 1763 (Weight: 1)
1 - 1783 (Weight: 1)
1 - 1791 (Weight: 1)
1 - 1802 (Weight: 1)
1 - 1808 (Weight: 1)
1 - 1809 (Weight: 1)
1 - 1814 (Weight: 1)
1 - 1827 (Weight: 1)
1 - 1834 (Weight: 1)
1 - 1838 (Weight: 1)
1 - 1844 (Weight: 1)
1 - 1845 (Weight: 1)
1 - 1856 (Weight: 1)
1 - 1868 (Weight: 1)
1 - 1882 (Weight: 1)
1 - 1884 (Weight: 1)
1 - 1910 (Weight: 1)
1 - 1917 (Weight: 1)
1 - 1926 (Weight: 1)
1 - 1929 (Weight: 1)
1 - 1932 (Weight: 1)
1 - 1934 (Weight: 1)
1 - 1949 (Weight: 1)
1 - 1959 (Weight: 1)
1 - 1982 (Weight: 1)
1 - 2000 (Weight: 1)
1 - 2006 (Weight: 1)
1 - 2009 (Weight: 1)
1 - 2016 (Weight: 1)
1 - 2021 (Weight: 1)
1 - 2025 (Weight: 1)
1 - 2041 (Weight: 1)
1 - 2053 (Weight: 1)
1 - 2075 (Weight: 1)
1 - 2094 (Weight: 1)
